시군명,사업단계,사업유형,정비구역명,위치,구역면적(㎡),(기존주택)준공년도,(기존주택)동수,(기존주택)세대수,(기존주택)면적별세대수(40㎡미만),(기존주택)면적별세대수(40~60㎡),(기존주택)면적별세대수(60~85㎡),(기존주택)면적별세대수(85~135㎡),(기존주택)면적별세대수(135㎡이상),사업시행세대수총계,조합원분양세대수,일반분양세대수,임대세대수,(신축주택)분양주택수,(신축주택)면적별분양주택수(40㎡미만),(신축주택)면적별분양주택수(40~60㎡),(신축주택)면적별분양주택수(60~85㎡),(신축주택)면적별분양주택수(85~135㎡),(신축주택)면적별분양주택수(135㎡이상),(신축주택)임대주택수,(신축주택)면적별임대주택수(40㎡미만),(신축주택)면적별임대주택수(40~60㎡),(신축주택)면적별임대주택수(60~85㎡),(기존)용적률,(신축)용적률,토지등소유자수(명),조합원수(명),사업시행자,사업예정기간(사업시작),사업예정기간(사업완료),정비예정구역고시일자,정비구역지정예정일자,정비계획승인일자,정비구역지정일자(최초지정),정비구역지정일자(변경지정),추진위승인일자,예비평가일자,안전진단일자,조합설립인가일자,사업시행인가일자,관리처분인가일자,착공일자,일반분양일자,준공일자,이전고시일자,현추진상황,업무담당자,담당자전화번호,비고
부천시,예정구역,재건축,약대 3-1(약대현대아파트),경기도 부천시 약대동 169-6,15363,1988,7,290,,,290,,,,,,,,,,,,,,,,,,2.3,,,,2020,2030,2017-12-11,2020-12-31,,,,,,,,,,,,,,정비예정구역 고시,강경현,032-625-3744,
부천시,예정구역,재건축,송내 3-2(현대아파트),경기도 부천시 송내동 450-1,22373,1988,6,717,,,717,,,,,,,,,,,,,,,,,,2.3,,,,2020,2030,2017-12-11,2020-12-31,,,,,,,,,,,,,,정비예정구역 고시,강경현,032-625-3744,
부천시,예정구역,재건축,원종 3-1(원종주공아파트),경기도 부천시 원종동 129-19,25419,1988,13,490,,,490,,,,,,,,,,,,,,,,,,2.3,,,,2020,2030,2017-12-11,2020-12-31,,,,,,2020-03-08,,,,,,,,정비예정구역 고시,강경현,032-625-3744,
부천시,예정구역,재건축,괴안3-4(염광아파트),경기도 부천시 괴안동 164-6,16698,1989,3,382,,,382,,,,,,,,,,,,,,,,,,2.3,,,,2021,2030,2017-12-11,2021-12-31,,,,,,,,,,,,,,정비예정구역 고시,강경현,032-625-3744,
부천시,예정구역,재건축,괴안 3-5(삼익세라믹아파트),경기도 부천시 괴안동 204-16,35064,1989,10,781,,,781,,,,,,,,,,,,,,,,,,2.3,,,,2021,2030,2017-12-11,2021-12-31,,,,,,,,,,,,,,정비예정구역 고시,강경현,032-625-3744,
부천시,예정구역,재건축,원종 3-2(동문1차아파트),경기도 부천시 원종동 70-1,17591,1990,6,280,,,280,,,,,,,,,,,,,,,,,,2.3,,,,2022,2030,2017-12-11,2022-12-31,,,,,,,,,,,,,,정비예정구역 고시,강경현,032-625-3744,
부천시,예정구역,재건축,괴안 3-7(거산아파트),경기도 부천시 괴안동 171-8,13418,1992,7,260,,,260,,,,,,,,,,,,,,,,,,2.3,,,,2023,2030,2017-12-11,2023-12-31,,,,,,,,,,,,,,정비예정구역 고시,강경현,032-625-3744,
부천시,정비구역,재개발,심곡3-1,경기도 부천시 심곡동 194,4413,1967,1,99,,,99,,,334,334,,,334,,,,,,,,,,1.03,9.93,80,,,2020,2030,2017-12-11,2019-11-25,2019-11-25,2019-11-25,,,,,,,,,,,,정비구역 지정,강성근,032-625-3754,
부천시,조합설립,재개발,괴안2D,경기도 부천시 괴안동 189,25877,평균 1982,113,396,,396,,,,602,330,206,66,536,,414,122,,,66,44,22,,100~200%,4,330,330,조합,2009,,2009-05-01,,2009-05-01,2009-05-01,2019-01-14,2009-06-08,,,2011-10-27,,,,,,,조합설립인가,황지민,032-625-3753,
부천시,사업시행,재개발,소사3,경기도 부천시 소사동 48-21,76081,평균 1982,547,1555,,1555,,,,1781,532,1117,132,1517,,619,898,,,132,132,,,100~200%,2.88,532,532,조합,2011,2023,2003-03-28,2006-12-31,2004-07-22,2008-03-10,2012-06-18,2006-10-09,,,2008-09-24,2020-08-06,,,,,,사업시행인가,전호철,032-625-3752,
부천시,조합설립,재개발,소사본1-1,경기도 부천시 소사본동 88-39,45429,평균 1983,285,603,,603,,,,1728,498,1086,144,1584,,,1584,,,144,144,,,100~200%,7.66,498,498,조합,2011,,2006-09-18,2006-12-31,2007-12-14,2009-05-18,2010-05-24,2006-11-17,,,2009-08-24,,,,,,,정비계획 변경 준비 중,전호철,032-625-3752,
부천시,사업시행,재개발,도당1-1,경기도 부천시 도당동 266-4,137023,평균1983,559,2567,,1367,700,500,,2291,1901,,390,1901,,1901,,,,390,390,,,1.09,2.52,1121,1121,조합,2006,,2006-09-18,2006-12-31,2007-06-12,2008-11-17,2012-07-30,2006-11-07,,,2009-02-27,2010-07-19,,,,,,해제(‘19.05.20.)('19.06.19. 해제 효력정지 공고),강성근,032-625-3754,
부천시,사업시행,재개발,소사1-1,경기도 부천시 소사동 483-6,25881,평균1983,122,551,,241,247,63,,748,298,390,60,688,58,439,191,,,60,60,,,100~200%,3.17,306,298,조합,2006,,2006-09-18,,2009-01-15,2009-04-20,2014-06-30,2006-12-15,,,2011-06-20,2014-06-30,,,,,,해제(‘18.12.03.)('18.12.31. 해제 효력정지)('20.05.19.  해제 효력회복)('20.06.18. 해제효력정지),황지민,032-625-3753,
부천시,사업시행,재건축,송내1-1,경기도 부천시 송내동 338,42612,1984,36,885,66,349,469,1,,1062,800,262,,1062,,946,116,,,,,,,1.35,2.68,822,800,조합,2006,,2006-09-18,2008-12-31,2013-02-14,2014-02-17,2018-09-03,2007-07-06,,2011-12-19,2017-03-14,2020-07-06,,,,,,사업시행계획인가,강경현,032-625-3744,
부천시,예정구역,재건축,괴안 3-1(역곡조공1차아파트),경기도 부천시 괴안동 36,14774,1984,5,224,,,224,,,,,,,,,,,,,,,,,,2.3,,,,2018,2030,2017-12-11,2018-12-31,,,,,2018-03-06,2018-08-09,,,,,,,,정비예정구역 고시,강경현,032-625-3744,
부천시,예정구역,재건축,심곡본 3-1(부천롯데아파트),경기도 부천시 심곡본동 615-1,22225,1984,5,463,,,463,,,,,,,,,,,,,,,,,,2.28,,,,2018,2030,2017-12-11,2018-12-31,,,,,,,,,,,,,,정비예정구역 고시,강경현,032-625-3744,
부천시,예정구역,재건축,심곡본 3-2(부천극동아파트),경기도 부천시 심곡본동 566-1,29174,1988,6,495,,,495,,,,,,,,,,,,,,,,,,2.19,,,,2018,2030,2017-12-11,2018-12-31,,,,,2018-03-07,2018-08-09,,,,,,,,정비예정구역 고시,강경현,032-625-3744,
부천시,예정구역,재건축,괴안 3-2(역곡조공2차아파트),경기도 부천시 괴안동 33,27634,1985,16,320,,,320,,,,,,,,,,,,,,,,,,2.19,,,,2019,2030,2017-12-11,2019-12-31,,,,,,,,,,,,,,정비예정구역 고시,강경현,032-625-3744,
부천시,관리처분,재개발,괴안3D,경기도 부천시 괴안동 201,38323,평균 1982,227,590,,590,,,,759,477,197,85,674,,538,136,,,85,46,39,,100~200%,2.74,431,431,조합,2009,2023,2009-05-01,,2009-05-01,2009-05-01,2018-10-29,2009-08-01,,,2011-04-06,2018-11-07,2019-11-11,,,,,이주 및 철거 준비 중,강성근,032-625-3754,
부천시,착공,재개발,계수.범박,경기도 부천시 계수동 1-6,295044,1990,743,1077,58,750,269,,,3724,770,2765,189,3535,51,1719,1765,,,189,189,,,100~200%,2.39,770,664,조합,2006,2023,2006-09-18,2006-12-31,2009-05-21,2009-10-26,2018-07-16,2006-05-23,,,2010-05-31,2017-01-31,2018-05-02,2018-08-27,2018-08-28,,,착공,정인경,032-625-3751,
부천시,착공,재개발,송내1-2,경기도 부천시 송내동 427-32,40431,1990,165,671,,,297,361,13,831,268,496,67,764,,407,354,3,,67,67,,,100~200%,2.63,310,268,조합,2006,2021,2006-09-18,,,2008-12-22,2017-05-22,2006-11-30,,,2009-05-08,2010-03-08,2016-05-09,2018-11-27,2018-11-28,,,착공,황지민,032-625-3753,
부천시,준공,재개발,약대1,경기도 부천시 약대동 216,42275,1950,77,195,195,,,,,620,110,404,106,514,,80,312,122,,106,54,52,,0.24,2.5,110,110,조합,2005,2012,2003-03-28,,,2006-01-16,2010-05-31,2003-12-26,,,2006-04-28,2007-04-02,2007-12-31,2008-10-31,2008-11-03,2011-10-26,2012-07-09,준공,황지민,032-625-3753,
부천시,준공,재개발,약대2,경기도 부천시 약대동 204,71669,1935,167,520,520,,,,,1373,208,955,210,1163,,,156,768,239,210,,126,84,0.95,2.5,208,208,조합,2005,2012,2003-03-28,,,2005-12-29,,2003-12-31,,,2006-04-12,2007-04-02,2007-12-31,2008-10-31,2008-11-03,2011-10-26,2012-04-16,준공,전호철,032-625-3753,
부천시,준공,재개발,중동1-1,경기도 부천시 중동 780,16143,1990,85,114,,,114,,,339,71,240,28,311,,103,208,,,28,11,17,,100~200%,2.8,113,71,조합,2006,2020,2006-09-18,,,2009-02-09,2016-05-23,2006-11-30,,,2009-07-24,2010-11-01,2015-12-30,2017-03-30,2017-04-05,2019-11-27,2020-02-24,준공,전호철,032-625-3752,
부천시,준공,재건축,괴안1-6,경기도 부천시 괴안동 203-2,42952,1984,17,770,,326,384,60,,921,694,227,,921,,557,364,,,,,,,1.24,2.5,761,694,조합,2006,2020,2006-09-18,,,2007-09-17,2016-06-20,2003-12-31,,2003-08-09,2009-09-15,2014-09-22,2016-12-09,2017-08-03,2018-01-24,2020-04-22,2020-07-27,준공,강경현,032-625-3744,
부천시,준공,재건축,심곡본1-1,경기도 부천시 심곡본동 801,15356,1985,6,220,,118,102,,,354,212,142,,354,,171,183,,,,,,,0.91,2.48,221,212,조합,2006,2020,2006-09-18,,,2011-08-08,,2009-08-14,,2010-04-12,2012-01-11,2015-03-20,2015-10-22,2016-06-22,2016-06-24,2018-09-20,2018-12-24,준공,강경현,032-625-3744,
부천시,준공,재건축,약대주공,경기도 부천시 약대동 181,101986,1985,40,1040,,1040,,,,1613,1040,423,150,1463,,207,713,250,293,150,,150,,0.85,2.5,1040,1031,조합,2003,2015,,,,2007-04-02,,2003-12-30,2003-09-25,2004-02-16,2007-07-13,2007-09-10,2008-01-25,2010-03-18,2011-10-07,2017-07-31,2017-11-27,준공,강경현,032-625-3744,
부천시,준공,재건축,삼경아파트,경기도 부천시 원종동 144,20108,1984,9,363,,363,,,,403,341,54,8,395,,84,187,124,,8,,3,5,1.54,2.15,363,363,조합,2003,2010,,,,2007-02-26,,2003-12-31,2003-06-04,2003-09-22,2007-05-11,2007-10-23,2008-07-16,2008-11-25,2010-11-21,2010-11-30,2011-02-01,준공,강경현,032-625-3744,
부천시,준공,재건축,동원아파트,경기도 부천시 송내동 463-3,20736,1985,7,323,,323,,,,371,351,,20,351,,,351,,,20,20,,,1.03,2.02,323,323,조합,2006,2008,,,,2005-04-11,,,2002-06-19,2002-11-19,2003-01-10,2005-05-17,2005-12-26,2006-04-27,2008-03-27,2008-07-17,2008-10-10,준공,강경현,032-625-3744,
부천시,준공,재건축,중동주공,경기도 부천시 중동 884,159919,1982,60,2560,,2560,,,,3090,2817,,273,2817,,,2817,,,273,273,,,0.71,2.44,2560,2183,조합,2004,2008,,,,2003-06-29,,,,1999-05-01,2000-03-09,2004-07-15,2005-05-12,2005-11-25,2008-04-18,2008-12-12,2009-07-27,준공,강경현,032-625-3744,
부천시,준공,재건축,백동단지,경기도 부천시 소사본동 157-1,13517,1983,2,99,,99,,,,226,196,,30,196,,,196,,,30,30,,,0.73,2,99,76,조합,2006,2009,,,,2006-01-16,,2003-12-10,2004-02-26,2004-06-14,2006-02-28,2006-06-09,2006-09-22,2008-02-01,2010-04-08,2012-05-29,2012-10-08,준공,강경현,032-625-3744,
부천시,예정구역,재건축,고강 3-2(미도아파트),경기도 부천시 고강동 327-7,14690,1989,6,340,,,340,,,,,,,,,,,,,,,,,,2.3,,,,2021,2030,2017-12-11,2021-12-31,,,,,,,,,,,,,,정비예정구역 고시,강경현,032-625-3744,
부천시,예정구역,재건축,괴안 3-3(삼익3차 아파트),경기도 부천시 괴안동 204-1,35434,1992,11,682,,,682,,,,,,,,,,,,,,,,,,2.3,,,,2023,2030,2017-12-11,2023-12-31,,,,,,,,,,,,,,정비예정구역 고시,강경현,032-625-3744,
부천시,추진위원회,재건축,역곡1-2,경기도 부천시 역곡동 75-3,16940,1983,17,315,,275,40,,,441,441,,,441,,,,,,,,,,1.29,2.5,399,,추진위,2006,,2006-09-18,2006-12-31,,,,2009-07-23,,2011-05-12,,,,,,,,추진위원회 승인,강경현,032-625-3744,
부천시,조합설립,재건축,성곡2-1,경기도 부천시 원종동 352,17396,1983,8,296,6,290,,,,413,413,,,413,,,,,,,,,,2,2.3,296,296,조합,,,2014-02-25,2015-01-01,,2017-12-26,,2018-07-11,2003-04-03,2015-12-13,2019-05-08,,,,,,,조합설립인가,강경현,032-625-3744,
부천시,예정구역,재건축,괴안 3-6(괴안대진아파트),경기도 부천시 괴안동 171-6,14203,1987,6,290,,,290,,,,,,,,,,,,,,,,,,2.3,,,,2018,2030,2017-12-11,2018-12-31,,,,,2018-03-05,2018-08-09,,,,,,,,정비예정구역 고시,강경현,032-625-3744,
성남시,착공,주거환경관리,태평4,경기도 성남시 수정구 남문로 135번길 11,48852,1980~2000,499,499,,,499,,,,,,,,,,,,,,,,,2.1,,523,,市,2014,,2017-03-29,,2017-03-29,2017-03-29,,,,,,2020-02-17,,2020-03-27,,,,착공,변도현,031-729-4454,
성남시,관리처분,도시환경,도환중1,경기도 성남시 중원구 중앙동 912,67234,1985,624,1345,848,316,121,36,24,1972,632,1322,,1972,,1176,144,652,,,,,,3,4,671,591,조합,2006,2023,2006-11-30,2008-12-31,2009-07-29,2010-08-31,2018-09-10,2011-01-12,,,2011-11-16,2019-03-25,2021-02-04,,,,,관리처분계획인가,정혜인,031-729-4472,
성남시,준공,주거환경개선,은행2지구,경기도 성남시 은행2동 1342,183209,1980~2000,1082,7669,,,7669,,,,,,,,,,,,,,,,,350~400%,2.1,2973,,市+LH,2006,2015,2006-11-30,,,2007-10-29,2015-11-30,,,,,2009-06-15,,2012-07-19,,2015-11-30,,준공,변도현,031-729-4454,
성남시,예정구역,재건축,선경논골아파트,경기도 성남시 수정구 단대동 6,8533,1991,3,426,426,,,,,,,,,,,,,,,,,,,,2.5,426,,,,,2019-05-27,2022-12-31,,,,,,,,,,,,,,정비예정구역 고시,장웅현,031-729-4443,
성남시,예정구역,재건축,성남동현대아파트,경기도 성남시 중원구 성남동 3120,9741,1992,2,375,375,,,,,,,,,,,,,,,,,,,,2.5,375,,,,,2019-05-27,2024-12-31,,,,,,,,,,,,,,정비예정구역 고시,장웅현,031-729-4443,
성남시,예정구역,재건축,시영(황송마을)아파트,경기도 성남시 중원구 금광동 2450-1,34220,1993,11,990,990,,,,,,,,,,,,,,,,,,,,2.5,990,,,,,2019-05-27,2026-12-31,,,,,,,,,,,,,,정비예정구역 고시,장웅현,031-729-4443,
성남시,예정구역,재건축,선경상대원2차아파트,경기도 성남시 중원구 상대원동 279-1,83823,1994,19,2510,2510,,,,,,,,,,,,,,,,,,,,2.5,2510,,,,,2019-05-27,2028-12-31,,,,,,,,,,,,,,정비예정구역 고시,장웅현,031-729-4444,
성남시,조합설립,재건축,은행주공아파트,경기도 성남시 중원구 은행동 550,151803,1987,74,2147,,2147,,,,3314,3314,,,3190,,,,,,,,,,1.14,2.5,2111,1839,조합,2017,,2012-01-30,2015-12-31,2016-02-25,2017-08-11,2021-06-10,2017-11-01,2006-09-04,2016-01-26,2018-07-09,,,,,,,조합설립인가,장웅현,031-729-4443,
성남시,관리처분,재개발,산성,경기도 성남시 수정구 산성동 1336,152797,1986,1516,4499,2789,1035,450,135,90,3372,1851,1095,426,2946,,1612,1195,139,,426,426,,,100~200%,2.65,1978,1658,조합,2014,2023,2006-11-30,2011-12-31,2013-12-16,2014-04-11,2021-06-21,2014-11-03,,,2016-05-17,2019-04-15,2020-09-07,,,,,관리처분계획인가,이인선,031-729-4424,
성남시,착공,재개발,신흥2,경기도 성남시 수정구 신흥동 1132,210733,1971,1775,6488,4022,1492,649,195,130,4774,2225,1737,812,3962,,1944,2018,,,812,452,360,,1.5,2.63,2225,,LH,2008,2023,2006-11-30,,,2008-11-26,2019-09-02,,,,,2009-12-04,2017-06-26,2020-05-08,2020-08-11,,,착공,윤강혁,031-729-4424,
성남시,착공,재개발,중1,경기도 성남시 중원구 중앙동 2979,108424,1965,1131,3715,2304,854,372,111,74,2411,984,1015,412,1999,,976,1023,,,412,140,272,,1.5,2.6,998,,LH,2008,2022,2006-11-30,,,2008-11-26,2017-08-28,,,,,2009-12-04,2016-11-07,2019-08-22,2019-05-21,,,착공,조아라,031-729-4434,
성남시,착공,재개발,금광1,경기도 성남시 중원구 금광동 34,233366,1970,1950,7499,4649,1725,750,225,150,5320,2073,2339,908,4412,,2409,2003,,,908,311,597,,1.5,2.64,2015,,LH,2008,2022,2006-11-30,,,2008-11-26,2021-01-25,,,,,2009-12-04,2016-11-07,2019-06-10,2019-05-21,,,착공,노희경,031-729-4433,
성남시,준공,재건축,금광3,경기도 성남시 중원구 금광동 2622,21709,1985,95,638,,,638,,,711,438,273,,711,104,561,46,,,,,,,1.5,2.65,454,438,조합,2013,2021,2012-01-30,2011-12-31,2012-03-02,2013-09-27,2015-08-03,2013-12-19,,,2014-07-25,2016-06-08,2016-12-29,2018-08-07,2018-08-15,2021-02-17,2021-05-24,준공,장웅현,031-729-4443,
성남시,준공,재건축,신흥(신흥주공+통보8차),"경기도 성남시 수정구 신흥동 10,89-1",181292,1986,27,2406,,,1008,1398,,4089,2384,1705,,4089,,564,3425,100,,,,,,1.34,2.49,2353,2353,조합,2011,2020,2012-01-30,2011-12-31,,2011-12-30,2011-12-30,2012-04-09,,2003-06-27,2013-09-25,2015-07-24,2016-08-16,2017-08-18,2017-08-24,2020-07-30,2020-11-30,준공,이경동,031-729-4442,
성남시,착공,주거환경관리,태평2,경기도 성남시 수정구 남문로 69번길 11,46786,1980~2000,421,1219,,,1219,,,,,,,,,,,,,,,,,2.1,,479,,市,2014,,2017-03-29,,2017-03-27,2017-03-27,,,,,,2020-02-17,,2020-03-23,,,,착공,신동호,031-729-4452,
성남시,착공,주거환경관리,수진2,경기도 성남시 수정구 수정로88번길 18,35214,1980~2000,330,905,,,905,,,,,,,,,,,,,,,,,2.1,,330,,市,2015,,2017-03-27,,2017-03-27,2017-03-27,,,,,,2019-12-30,,2019-12-20,,,,착공,신동호,031-729-4452,
성남시,준공,재개발,단대,경기도 성남시 수정구 단대동 108-6,75063,1985,516,1897,1176,436,190,57,38,1228,1015,,213,1015,,297,479,239,,213,127,86,,1.4,2.25,680,,LH,2002,2013,2006-11-30,,,2005-11-07,2011-07-04,,,,,2011-07-21,2008-06-09,2009-07-28,2011-11-18,2013-11-29,2016-05-02,준공,윤강혁,031-729-4424,
성남시,준공,재개발,중3,경기도 성남시 중원구 중동 1500,40239,1970,282,898,556,207,90,27,18,672,323,222,127,545,,187,288,70,,127,62,65,,1.5,2.39,330,,LH,2003,2013,2006-11-30,,,2006-01-06,2011-07-04,,,,,2011-07-14,2008-02-29,2009-08-08,2011-10-28,2013-12-31,2016-05-02,준공,노희경,031-729-4433,
성남시,준공,재건축,삼남아파트,경기도 성남시 중원구 중앙동 578,20124,1985,7,235,,,235,,,356,181,175,,356,,,356,,,,,,,1.12,2.33,234,182,조합,2007,2012,,,,2006-01-16,2010-01-22,,,,2003-06-20,2007-06-25,2008-02-29,2009-03-13,,2012-09-27,2012-08-13,준공,장웅현,031-729-4443,
성남시,준공,재건축,삼창아파트,경기도 성남시 중원구 중앙동 3748-1,41139,1985,3,544,,,544,,,751,441,310,,751,,,751,,,,,,,1.14,2.44,547,443,조합,2007,2012,,,,2006-01-16,2010-10-22,,,,2003-05-19,2007-08-07,2008-03-31,2009-08-20,,2012-12-14,2014-07-07,준공,장웅현,031-729-4443,
성남시,준공,주거환경개선,산성2지구,경기도 성남시 산성동 513,29560,1970~2000,221,712,,,712,,,,,,,,,,,,,,,,,2.9,2.1,238,,市,2004,2008,,,,2003-06-30,2006-06-28,,,,,2004-06-29,,2004-06-01,,2008-04-21,,준공,변도현,031-729-4454,
성남시,준공,주거환경관리,단대동,경기도 성남시 산성대로 383번길 14,49265,1990,120,746,746,,,,,,,,,,,,,,,,,,,2.1,,513,,市,2015,2018,2015-06-22,,2015-06-22,2015-06-22,,,,,,2017-01-23,,2016-12-27,,2018-12-24,,준공,변도현,031-729-4454,
성남시,정비구역,재개발,수진1,경기도 성남시 수정구 수진동 963,261828,1980~2000,2377,6544,6544,,,,,5259,,,846,,,,,,,846,,,,100~200%,2.5,2647,,,,,2019-05-27,2020-12-31,2020-12-31,2020-12-31,,,,,,,,,,,,정비구역 지정 고시,이성재,031-729-4422,
성남시,정비구역,재개발,신흥1,경기도 성남시 수정구 신흥동 4900,196693,1980~2000,1985,5709,5709,,,,,3964,,,664,,,,,,,664,,,,100~200%,2.5,2220,,,,,2019-05-27,2020-12-31,2020-12-31,2020-12-31,,,,,,,,,,,,정비구역 지정 고시,이인선,031-729-4423,
성남시,예정구역,재개발,태평3,경기도 성남시 수정구 태평동 4580,122778,1980~2000,1241,3646,3646,,,,,,,,,,,,,,,,,,,100~200%,2.5,1278,,,,,2019-05-27,2022-12-31,,,,,,,,,,,,,,정비예정구역 고시,정혜인,031-729-4873,
성남시,예정구역,재개발,상대원3,경기도 성남시 중원구 상대원동 2780,427629,1980~2000,2573,11000,11000,,,,,,,,,,,,,,,,,,,100~200%,2.5,2713,,,,,2019-05-27,2022-12-31,,,,,,,,,,,,,,정비예정구역 고시,김상우,031-729-4432,
성남시,예정구역,재개발,신흥3,경기도 성남시 수정구 신흥동 2890,152263,1980~2000,1402,4007,4007,,,,,,,,,,,,,,,,,,,100~200%,2.5,1497,,,,,2019-05-27,2022-12-31,,,,,,,,,,,,,,정비예정구역 고시,이인선,031-729-4423,
성남시,예정구역,재건축,한신아파트,경기도 성남시 수정구 신흥동 2463-1,22374,1990,5,585,585,,,,,,,,,,,,,,,,,,,,2.5,585,,,,,2019-05-27,2020-12-31,,,,,,,,,,,,,,정비예정구역 고시,장웅현,031-729-4443,
성남시,예정구역,재건축,삼익금광아파트,경기도 성남시 중원구 금광동 3950,12251,1991,4,498,498,,,,,,,,,,,,,,,,,,,,2.5,498,,,,,2019-05-27,2022-12-31,,,,,,,,,,,,,,정비예정구역 고시,장웅현,031-729-4443,
성남시,예정구역,재건축,삼익상대원아파트,경기도 성남시 중원구 상대원동 152-3,6067,1991,2,264,264,,,,,,,,,,,,,,,,,,,,2.5,264,,,,,2019-05-27,2022-12-31,,,,,,,,,,,,,,정비예정구역 고시,장웅현,031-729-4443,
성남시,예정구역,재건축,두산아파트,경기도 성남시 수정구 신흥동 2024,21590,1993,6,570,570,,,,,,,,,,,,,,,,,,,,2.5,570,,,,,2019-05-27,2026-12-31,,,,,,,,,,,,,,정비예정구역 고시,장웅현,031-729-4443,
성남시,예정구역,재건축,일성아파트,경기도 성남시 중원구 상대원동 178-6,8024,1993,1,270,270,,,,,,,,,,,,,,,,,,,,2.5,270,,,,,2019-05-27,2026-12-31,,,,,,,,,,,,,,정비예정구역 고시,장웅현,031-729-4443,
성남시,예정구역,재건축,청구아파트,경기도 성남시 수정구 신흥동 2464-1,17942,1994,3,493,493,,,,,,,,,,,,,,,,,,,,2.5,493,,,,,2019-05-27,2028-12-31,,,,,,,,,,,,,,정비예정구역 고시,장웅현,031-729-4443,
성남시,예정구역,재건축,미도아파트,경기도 성남시 수정구 단대동 182,10913,1982,3,280,280,,,,,,,,,,,,,,,,,,,2.03,2.5,286,,,,,2006-11-30,2020-12-31,,,,,2012-03-09,2016-06-01,,,,,,,,정비예정구역 고시,장웅현,031-729-4443,
성남시,추진위원회,도시환경,도환중2,경기도 성남시 중원구 중앙동 196,39346,1986,268,713,443,164,71,21,14,1123,1123,,,1123,,455,668,,,,,,,100~300%,8,372,,추진위,2006,2025,2006-11-30,2011-12-31,2014-06-19,2015-11-11,,2016-06-29,,,,,,,,,,조합설립인가 준비 중,장용일,031-729-4473,
성남시,조합설립,재건축,성지?궁전아파트,경기도 성남시 중원구 상대원동 195-5,26223,1987,15,709,,,709,,,818,818,,,818,,,,,,,,,,1.31,2.5,699,682,조합,2015,,2012-01-30,2015-12-31,2014-01-28,2015-03-09,2015-03-09,2017-01-26,2006-08-23,2013-07-05,2019-01-09,,,,,,,조합설립인가,이경동,031-729-4442,
성남시,사업시행,재개발,상대원2,경기도 성남시 중원구 상대원동 3910,242045,1986,2092,6075,3768,1397,606,182,122,5090,4470,,620,4470,,2069,2257,144,,620,620,,,100~200%,2.65,2571,2324,조합,2014,2023,2006-11-30,2011-12-31,2013-11-04,2014-02-24,2019-08-05,2014-06-13,,,2015-04-20,2020-01-13,,,,,,사업시행인가,김상우,031-729-4432,
성남시,준공,재건축,건우아파트,경기도 성남시 수정구 태평로 64,17915,1987,7,470,,320,150,,,503,307,196,,503,,,420,83,,,,,,1.56,2.49,305,305,조합,2010,2018,2006-11-30,2010-12-31,2009-08-01,2010-04-28,2013-04-22,2012-04-19,,2002-12-30,2003-05-26,2012-05-17,2015-09-03,2016-05-11,2016-06-03,2018-10-12,2019-01-28,준공,장웅현,031-729-4443,
수원시,사업시행,재개발,115-3,경기도 수원시 팔달구 고등동 94-1,63233,,,980,,,,,,1171,1087,,84,983,36,650,455,30,,84,,,,2,2.23,602,379,조합,2006,,2006-09-14,2010-12-31,,2009-03-13,2017-08-30,2006-11-08,,,2009-06-05,2011-09-08,,,,,,사업시행인가 변경 중,박정미,031-228-3483,
수원시,사업시행,재건축,"영통 2구역(매탄주공 4,5단지)",경기도 수원시 영통구 매탄동 897,222842,1985,65,2440,,1164,132,1008,136,4002,2402,1600,,4002,,976,2527,479,20,,,,,"73%, 127%",2.6,2420,2371,조합,2016,2025,2012-09-26,2014-12-31,2015-12-31,2015-12-16,,2016-10-31,2013-02-15,2013-08-02,2017-10-12,2021-05-03,,,,,,관리처분계획인가 준비 중,이용석,031-228-3414,
수원시,착공,주거환경개선,115-2구역(고등지구),경기도 수원시 팔달구 고등동 270,362871,1900~1980,1397,5822,2304,2664,714,110,30,4871,2675,797,1399,3472,,652,2820,,,1399,500,614,285,2.5,1.87,3534,,LH,2006,2021,2006-09-14,,,2006-12-26,2008-09-23,,,,,2008-11-27,,2019-01-17,2019-03-12,,,착공,손주연,031-228-3497,
수원시,준공,재건축,매탄주공2단지아파트,경기도 수원시 영통구 매탄동 176,190493,1982,70,2820,,2820,,,,3391,2836,555,,3391,,687,1748,956,,,,,,0.87,2.49,2918,2595,조합,2002,2008,,,,2004-12-24,,,,2001-01-15,2002-05-16,2004-12-31,2005-04-26,2005-05-16,2005-06-03,2008-05-09,2010-07-27,준공,이용석,031-228-3414,
수원시,사업시행,재개발,111-3,경기도 수원시 장안구 영화동 93-6,28863,1942-2006,108,355,18,107,176,36,18,556,494,,62,494,,327,167,,,62,62,,,2,2,217,209,조합,2006,2026,2006-09-14,2010-12-31,,2009-07-03,2011-10-05,2006-11-08,,,2009-10-28,2021-03-25,,,,,,조합원분양 준비 중,권은빈,031-228-3484,
수원시,사업시행,주거환경개선,113-7구역(평동지구),경기도 수원시 권선구 평동 35-6,152940,1900~1980,363,916,916,,,,,,,,,,,,,,,,,,,2.5,,423,,市,2019,2022,2006-09-14,,,2006-12-11,,,,,,,,,,,,2단계 보상 협의 중,백동문,031-228-3499,
